Carteira do Dia,Setor,Código,Ação,Tipo,Qtde_Teórica,Part_(%),Part_(%)_Acum
15/07/24,Bens Indls / Máqs e Equips,WEGE3,WEG,ON NM,1482105837,3.211,3.211
15/07/24,Bens Indls / Mat Transporte,EMBR3,EMBRAER,ON NM,734632601,1.396,1.396
15/07/24,Bens Indls/Transporte,AZUL4,AZUL,PN N2,332825777,0.139,2.060
15/07/24,Bens Indls/Transporte,CCRO3,CCR SA,ON NM,995335937,0.610,2.060
15/07/24,Bens Indls/Transporte,RAIL3,RUMO S.A.,ON NM,1218352541,1.311,2.060
15/07/24,Cons N Básico / Alimentos Processados,BRFS3,BRF SA,ON NM,835221269,0.886,3.100
15/07/24,Cons N Básico / Alimentos Processados,JBSS3,JBS,ON NM,1134986472,1.720,3.100
15/07/24,Cons N Básico / Alimentos Processados,MRFG3,MARFRIG,ON NM,331799687,0.192,3.100
15/07/24,Cons N Básico / Alimentos Processados,BEEF3,MINERVA,ON NM,261036182,0.084,3.100
15/07/24,Cons N Básico / Alimentos Processados,SMTO3,SAO MARTINHO,ON NM,142348116,0.218,3.100
15/07/24,Cons N Cíclico / Bebidas,ABEV3,AMBEV S/A,ON ATZ,4394245879,2.415,2.415
15/07/24,Cons N Cíclico / Comércio Distr.,ASAI3,ASSAI,ON NM,1349217892,0.716,1.045
15/07/24,Cons N Cíclico / Comércio Distr.,CRFB3,CARREFOUR BR,ON NM,533990587,0.269,1.045
15/07/24,Cons N Cíclico / Comércio Distr.,PCAR3,P.ACUCAR-CBD,ON NM,379400826,0.060,1.045
15/07/24,Cons N Cíclico / Pr Pessoal Limp,NTCO3,GRUPO NATURA,ON NM,849346756,0.640,0.640
15/07/24,Cons N Ciclico/Agropecuária,SLCE3,SLC AGRICOLA,ON NM,194217908,0.175,0.175
15/07/24,Consumo Cíclico / Comércio,ARZZ3,AREZZO CO,ON ED NM,62305891,0.160,1.212
15/07/24,Consumo Cíclico / Comércio,SOMA3,GRUPO SOMA,ON NM,496029967,0.152,1.212
15/07/24,Consumo Cíclico / Comércio,LREN3,LOJAS RENNER,ON NM,951452770,0.609,1.212
15/07/24,Consumo Cíclico / Comércio,MGLU3,MAGAZ LUIZA,ON NM,351757412,0.230,1.212

Quantidade Teórica Total,95381185532,100000,100000
Redutor,1643123156745229,
